"ndc9","dose_form_rxcui"
"118221119","316968"
"696040202","1649574"
"634590215","317541"
"666890024","316968"
"499990073","317541"
"499990775","317541"
"000676179","317541"
"516721376","346286"
"492810339","316950"
"007410002","10312"
"647200228","317541"
"630290105","317541"
"118221200","316968"
"610104409","316965"
"787540001","346286"
"716990201","317541"
"002993672","316955"
"671720016","316992"
"573440923","317541"
"636293748","316965"
"533450023","316965"
"620110087","316945"
"721890047","317541"
"633230493","1649574"
"559100186","316968"
"510130129","316965"
"530023430","316956"
"007812688","316943"
"500901159","721654"
"597790019","316965"
"500904414","317000"
"687887103","10312"
"301420738","316968"
"649421869","316985"
"692560458","317541"
"682200087","317541"
"000090287","317541"
"001697829","1649574"
"719090017","316986"
"500904358","317541"
"461220198","316968"
"004094164","316949"
"004401466","316965"
"698420262","316968"
"718727132","1649574"
"743000003","106332"
"503830771","316969"
"794731020","316985"
"782390005","316986"
"499990942","316995"
"116730979","316965"
"101350155","317541"
"002955030","11108"
"497020246","317541"
"001730867","1649571"
"490350178","316982"
"583940016","721656"
"591370525","1649570"
"695390032","317541"
"694400001","1792831"
"585520323","317541"
"529590623","317541"
"368000631","317541"
"412500966","316945"
"597790275","317541"
"705181483","317541"
"505940014","316965"
"550451241","316982"
"343620300","11108"
"370000815","316968"
"530023151","317541"
"002471277","317541"
"458610004","1792831"
"370000095","106332"
"378080583","317541"
"000676272","317541"
"691020312","317541"
"529590114","7670"
"178560170","316969"
"675440349","316945"
"638680589","317541"
"799030097","346286"
"116730304","126542"
"000672045","317541"
"728590890","316982"
"714280011","316982"
"001870938","317541"
"721400031","316985"
"860560018","316983"
"630290903","317541"
"520000040","1792831"
"115090005","316982"
"670910351","317541"
"510130143","316965"
"411673510","317541"
"724510596","317541"
"003635580","317541"
"555050167","316986"
"005178201","316949"
"115234111","317541"
"000780567","317541"
"793780110","316968"
"167140404","317541"
"368000707","316968"
"595720720","316965"
"525840163","316949"
"000741658","316949"
"000876063","316945"
"228403494","316949"
"706770121","316968"
"000854324","10312"
"680710995","316965"
"500905310","1540455"
"523430161","317541"
"555669700","1540455"
